first_name,last_name,full_name,cand_id,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
JOHN,MCCAIN,"MCCAIN, JOHN",S6AZ00019,22%,SENATE,NaN,NaN,NaN,SENATE
DIANNE,FEINSTEIN,"FEINSTEIN, DIANNE",S0CA00199,73%,SENATE,100%,SENATE,94%,SENATE
KAMALA,HARRIS,"HARRIS, KAMALA",P00009423,86%,SENATE,71%,SENATE,10%,SENATE
CORY,GARDNER,"GARDNER, CORY",H0CO04122,29%,SENATE,36%,SENATE,16%,SENATE
MICHAEL,BENNET,"BENNET, MICHAEL",P00011833,71%,SENATE,86%,SENATE,100%,SENATE
CHRIS,MURPHY,"MURPHY, CHRIS",S2CT00132,71%,SENATE,100%,SENATE,100%,SENATE
RICHARD,BLUMENTHAL,"BLUMENTHAL, RICHARD",S0CT00177,73%,SENATE,100%,SENATE,100%,SENATE
CHRISTOPHER,COONS,"COONS, CHRISTOPHER",S0DE00092,77%,SENATE,100%,SENATE,97%,SENATE
TOM,CARPER,"CARPER, TOM",S8DE00079,62%,SENATE,100%,SENATE,97%,SENATE
MARCO,RUBIO,"RUBIO, MARCO",P60006723,5%,SENATE,7%,SENATE,6%,SENATE
BILL,NELSON,"NELSON, BILL",S8FL00166,60%,SENATE,7%,SENATE,88%,SENATE
Rick,Scott,"Scott, Rich",S8FL00273,NaN,NaN,7%,SENATE,NaN,NaN
DAVID,PERDUE,"PERDUE, DAVID",S4GA11285,14%,SENATE,14%,SENATE,9%,SENATE
JOHNNY,ISAKSON,"ISAKSON, JOHNNY",S6GA00119,6%,SENATE,29%,SENATE,13%,SENATE
BRIAN,SCHATZ,"SCHATZ, BRIAN",S4HI00136,75%,SENATE,100%,SENATE,100%,SENATE
MAZIE,HIRONO,"HIRONO, MAZIE",S2HI00106,77%,SENATE,100%,SENATE,100%,SENATE
CHUCK,GRASSLEY,"GRASSLEY, CHUCK",S0IA00028,18%,SENATE,7%,SENATE,9%,SENATE
JONI,ERNST,"ERNST, JONI",S4IA00129,10%,SENATE,14%,SENATE,13%,SENATE
JAMES,RISCH,"RISCH, JAMES",S8ID00092,14%,SENATE,7%,SENATE,6%,SENATE
MIKE,CRAPO,"CRAPO, MIKE",S8ID00027,18%,SENATE,7%,SENATE,9%,SENATE
TAMMY,DUCKWORTH,"DUCKWORTH, TAMMY",S6IL00292,62%,SENATE,100%,SENATE,94%,SENATE
DICK,DURBIN,"DURBIN, DICK",S6IL00151,82%,SENATE,100%,SENATE,100%,SENATE
TODD,YOUNG,"YOUNG, TODD",H0IN09070,5%,SENATE,29%,SENATE,13%,SENATE
JOE,DONNELLY,"DONNELLY, JOE",S2IN00091,52%,SENATE,7%,SENATE,91%,SENATE
JERRY,MORAN,"MORAN, JERRY",S0KS00091,19%,SENATE,14%,SENATE,16%,SENATE
PAT,ROBERTS,"ROBERTS, PAT",S6KS00080,5%,SENATE,29%,SENATE,13%,SENATE
MITCH,MCCONNELL,"MCCONNELL, MITCH",S2KY00012,5%,SENATE,14%,SENATE,13%,SENATE
RAND,PAUL,"PAUL, RAND",P40003576,45%,SENATE,0%,SENATE,9%,SENATE
BILL,CASSIDY,"CASSIDY, BILL",S4LA00107,14%,SENATE,7%,SENATE,13%,SENATE
JOHN,KENNEDY,"KENNEDY, JOHN",S4LA00065,27%,SENATE,7%,SENATE,9%,SENATE
EDWARD,MARKEY,"MARKEY, EDWARD",S4MA00028,81%,SENATE,100%,SENATE,100%,SENATE
ELIZABETH,WARREN,"WARREN, ELIZABETH",P00009621,86%,SENATE,79%,SENATE,100%,SENATE
BEN,CARDIN,"CARDIN, BEN",S6MD03177,71%,SENATE,100%,SENATE,100%,SENATE
CHRIS,VAN HOLLEN,"VAN HOLLEN, CHRIS",H2MD08126,76%,SENATE,100%,SENATE,100%,SENATE
ANGUS,KING,"KING, ANGUS",S2ME00109,67%,SENATE,93%,SENATE,97%,SENATE
SUSAN,COLLINS,"COLLINS, SUSAN",S6ME00159,43%,SENATE,64%,SENATE,28%,SENATE
DEBBIE,STABENOW,"STABENOW, DEBBIE",S8MI00281,62%,SENATE,100%,SENATE,97%,SENATE
GARY,PETERS,"PETERS, GARY",H8MI09068,62%,SENATE,100%,SENATE,97%,SENATE
AMY,KLOBUCHAR,"KLOBUCHAR, AMY",P80006117,64%,SENATE,79%,SENATE,100%,SENATE
TINA,SMITH,"SMITH, TINA",S8MN00578,67%,SENATE,100%,SENATE,NaN,SENATE
ROY,BLUNT,"BLUNT, ROY",S0MO00183,5%,SENATE,21%,SENATE,13%,SENATE
JOSHUA,HAWLEY,"Hawley, Joshua",S8MO00160,NaN,NaN,7%,SENATE,NaN,NaN
CLAIRE,MCCASKILL,"MCCASKILL, CLAIRE",S6MO00305,67%,SENATE,NaN,NaN,94%,SENATE
CINDY,HYDE-SMITH,"HYDE-SMITH, CINDY",S8MS00261,0%,SENATE,29%,SENATE,NaN,SENATE
ROGER,WICKER,"WICKER, ROGER",S8MS00196,10%,SENATE,7%,SENATE,13%,SENATE
STEVE,DAINES,"DAINES, STEVE",H2MT01060,33%,SENATE,29%,SENATE,13%,SENATE
JON,TESTER,"TESTER, JON",S6MT00162,81%,SENATE,100%,SENATE,97%,SENATE
RICHARD,BURR,"BURR, RICHARD",S4NC00089,6%,SENATE,29%,SENATE,16%,SENATE
THOM,TILLIS,"TILLIS, THOM",S4NC00162,14%,SENATE,21%,SENATE,13%,SENATE
JOHN,HOEVEN,"HOEVEN, JOHN",S0ND00093,5%,SENATE,14%,SENATE,13%,SENATE
HEIDI,HEITKAMP,"HEITKAMP, HEIDI",S2ND00099,62%,SENATE,NaN,NaN,81%,SENATE
BENJAMIN,SASSE,"SASSE, BENJAMIN",S4NE00090,18%,SENATE,0%,SENATE,6%,SENATE
DEB,FISCHER,"FISCHER, DEB",S2NE00094,14%,SENATE,7%,SENATE,13%,SENATE
JEANNE,SHAHEEN,"SHAHEEN, JEANNE",S0NH00219,62%,SENATE,100%,SENATE,94%,SENATE
MAGGIE,HASSAN,"HASSAN, MAGGIE",S6NH00091,62%,SENATE,100%,SENATE,97%,SENATE
CORY,BOOKER,"BOOKER, CORY",P00009795,86%,SENATE,50%,SENATE,100%,SENATE
ROBERT,MENENDEZ,"MENENDEZ, ROBERT",S6NJ00289,76%,SENATE,100%,SENATE,94%,SENATE
MARTIN,HEINRICH,"HEINRICH, MARTIN",H8NM01224,76%,SENATE,93%,SENATE,91%,SENATE
TOM,UDALL,"UDALL, TOM",S8NM00184,76%,SENATE,100%,SENATE,100%,SENATE
DEAN,HELLER,"HELLER, DEAN",H6NV02164,15%,SENATE,NaN,NaN,16%,SENATE
CATHERINE,CORTEZ MASTO,"CORTEZ MASTO, CATHERINE",S6NV00200,62%,SENATE,100%,SENATE,100%,SENATE
Jacky,Rosen,"Rosen, Jacky",S8NV00156,NaN,NaN,100%,SENATE,NaN,NaN
CHARLES,SCHUMER,"SCHUMER, CHARLES",S8NY00082,67%,SENATE,100%,SENATE,100%,SENATE
KIRSTEN,GILLIBRAND,"GILLIBRAND, KIRSTEN",P00009290,86%,SENATE,93%,SENATE,100%,SENATE
ROB,PORTMAN,"PORTMAN, ROB",S0OH00133,10%,SENATE,29%,SENATE,16%,SENATE
SHERROD,BROWN,"BROWN, SHERROD",S6OH00163,76%,SENATE,100%,SENATE,100%,SENATE
