first_name,last_name,full_name,cand_id,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
Tom,Cole,"Cole, Tom",H2OK04055,0.04,HOUSE,0.17,HOUSE,0.13,HOUSE
Steve,Russell,"Russell, Steve",H4OK05132,0.12,HOUSE,,,0.19,HOUSE
Kendra,Horn,"Horn, Kendra",H8OK05125,,,0.93,HOUSE,,
Suzanne,Bonamici,"Bonamici, Suzanne",H2OR01133,0.86,HOUSE,0.97,HOUSE,0.97,HOUSE
Greg,Walden,"Walden, Greg",H6OR02116,0.07,HOUSE,0.21,HOUSE,0.16,HOUSE
Earl,Blumenauer,"Blumenauer, Earl",H6OR03064,0.93,HOUSE,0.93,HOUSE,0.97,HOUSE
Peter,DeFazio,"DeFazio, Peter",H6OR04047,0.79,HOUSE,0.97,HOUSE,0.94,HOUSE
Kurt,Schrader,"Schrader, Kurt",H8OR05107,0.75,HOUSE,0.93,HOUSE,0.72,HOUSE
Robert,Brady,"Brady, Robert",H8PA01153,0.86,HOUSE,,,1,HOUSE
Brian,Fitzpatrick,"Fitzpatrick, Brian",H6PA08277,0.29,HOUSE,0.86,HOUSE,0.41,HOUSE
Brendan,Boyle,"Boyle, Brendan",H4PA13199,0.82,HOUSE,0.97,HOUSE,0.97,HOUSE
Dwight,Evans,"Evans, Dwight",H6PA02171,0.86,HOUSE,0.97,HOUSE,1,HOUSE
Ryan,Costello,"Costello, Ryan",H0PA06076,0.21,HOUSE,,,0.31,HOUSE
Bill,Shuster,"Shuster, Bill",H2PA09035,0.07,HOUSE,,,0.19,HOUSE
Tom,Marino,"Marino, Tom",H0PA10078,0.03,HOUSE,0.04,HOUSE,0.19,HOUSE
Lou,Barletta,"Barletta, Lou",H2PA11098,0.07,HOUSE,,,0.16,HOUSE
Madeleine,Dean,"Dean, Madeleine",H8PA04116,,,0.97,HOUSE,,
Mary,Gay Scanlon,"Gay Scanlon, Mary",H8PA07200,,,0.97,HOUSE,,
Chrissy,Houlahan,"Houlahan, Chrissy",H8PA06087,,,0.97,HOUSE,,
Susan,Wild,"Wild, Susan",H8PA15229,,,0.97,HOUSE,,
Matt,Cartwright,"Cartwright, Matt",H2PA17079,0.61,HOUSE,0.96,HOUSE,0.88,HOUSE
Dan,Meuser,"Meuser, Dan",H8PA10147,,,0.07,HOUSE,,
Scott,Perry,"Perry, Scott",H2PA04135,0.21,HOUSE,0.03,HOUSE,0.09,HOUSE
Lloyd,Smucker,"Smucker, Lloyd",H6PA16320,0.07,HOUSE,0.07,HOUSE,0.13,HOUSE
Keith,Rothfus,"Rothfus, Keith",H0PA04220,0.07,HOUSE,,,0.13,HOUSE
Fred,Keller,"Keller, Fred",H0PA12181,,,0.04,HOUSE,,
John,Joyce,"Joyce, John",H8PA13125,,,0.03,HOUSE,,
Guy,Reschenthaler,"Reschenthaler, Guy",H8PA18199,,,0.07,HOUSE,,
Glenn,Thompson,"Thompson, Glenn",H8PA05071,0.07,HOUSE,0.07,HOUSE,0.16,HOUSE
Mike,Kelly,"Kelly, Mike",H0PA03271,0.07,HOUSE,0.07,HOUSE,0.19,HOUSE
Conor,Lamb,"Lamb, Conor",H8PA18181,,,0.9,HOUSE,,
Mike,Doyle,"Doyle, Mike",H4PA18131,0.86,HOUSE,0.97,HOUSE,0.97,HOUSE
David,Cicilline,"Cicilline, David",H0RI01073,0.85,HOUSE,0.97,HOUSE,1,HOUSE
James,Langevin,"Langevin, James",H0RI02139,0.68,HOUSE,0.97,HOUSE,0.94,HOUSE
Joe,Cunningham,"Cunningham, Joe",H8SC01116,,,0.93,HOUSE,,
Joe,Wilson,"Wilson, Joe",H2SC02059,0.04,HOUSE,0.07,HOUSE,0.06,HOUSE
Jeff,Duncan,"Duncan, Jeff",H0SC03077,0.19,HOUSE,0.07,HOUSE,0.03,HOUSE
Trey,Gowdy,"Gowdy, Trey",H0SC04257,0.03,HOUSE,,,0.09,HOUSE
William,Timmons,"Timmons, William",H8SC04250,,,0.1,HOUSE,,
Ralph,Norman,"Norman, Ralph",H8SC05158,0.17,HOUSE,0.07,HOUSE,,HOUSE
Jim,Clyburn,"Clyburn, Jim",H2SC02042,0.79,HOUSE,0.92,HOUSE,0.88,HOUSE
Tom,Rice,"Rice, Tom",H2SC07066,0.07,HOUSE,0.1,HOUSE,0.06,HOUSE
Kristi,Noem,"Noem, Kristi",H0SD00054,0.07,HOUSE,,,0.13,HOUSE
Dusty,Johnson,"Johnson, Dusty",H8SD01055,,,0.07,HOUSE,,
Phil,Roe,"Roe, Phil",H6TN01388,0.07,HOUSE,0.1,HOUSE,0.09,HOUSE
John,Duncan,"Duncan, John",H8TN02069,0.25,HOUSE,,,0.13,HOUSE
Tim,Burchett,"Burchett, Tim",H8TN02119,,,0.1,HOUSE,,
Chuck,Fleischmann,"Fleischmann, Chuck",H0TN03254,0.04,HOUSE,0.07,HOUSE,0.13,HOUSE
